timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
168567,0,-2,6,2,-3,-3,-9,-13
168567,2,3,6,-7,-9,-3,4,2
169547,4,-2,-12,-11,-4,-1,-4,-7
169547,-2,-1,12,48,-1,-5,-4,0
170527,-11,-3,2,-35,1,0,0,1
170527,1,-20,-19,19,7,0,1,-5
171027,-4,12,-6,-17,-9,-2,-4,1
171027,14,1,-39,-3,3,4,0,5
181073,-6,-6,10,10,0,-2,1,-4
181073,11,-5,-12,-5,-5,-2,-4,-1
189033,-2,7,12,33,4,-6,2,0
189033,-2,-23,0,-41,-11,2,1,-2
197033,-2,6,-11,0,3,2,3,2
197033,-5,-4,15,-17,-6,-3,-11,-2
211075,-3,3,3,9,-3,-2,22,-5
211075,5,13,11,1,6,-3,0,-1
222035,10,-3,4,-1,-3,-1,1,0
222035,-15,-3,-1,-1,3,1,-1,0
226035,3,1,0,-3,2,-1,-5,-3
226035,-10,-2,-12,-11,-5,-3,-4,-3
241071,2,0,-7,1,-1,-2,0,2
241071,-1,5,-8,-8,-4,-5,-10,-1
249036,-3,-2,1,-7,0,-1,-4,1
249036,-27,-10,-2,7,3,3,-6,-3
287049,3,7,36,-19,3,3,1,0
287049,7,-18,0,28,1,0,5,0
295050,-1,3,-41,-52,-13,-3,1,-1
295050,-2,5,2,32,8,-2,-2,1
296050,-6,-6,-6,-31,-12,-1,-11,-9
296050,1,-2,15,12,3,-1,3,-6
297050,-10,-4,3,8,2,-3,-10,4
297050,0,-4,-2,-1,-1,-1,20,1
300055,1,4,-16,1,-1,-2,2,2
300055,-2,2,6,-1,1,-1,-10,-5
308264,-2,-6,-5,-5,-3,1,5,-4
308264,0,-2,-2,-11,1,-1,3,0
317051,19,-4,-3,18,-3,-5,1,-1
317051,-11,1,6,-12,-4,0,5,0
330153,18,-7,8,5,1,0,-6,0
330153,-1,5,0,-9,-4,-2,-9,1
340052,4,-1,-10,-3,0,-4,1,0
340052,8,-10,31,2,0,-1,-1,-1
345256,-11,9,-11,42,8,0,-2,1
345256,9,-18,-23,-38,-8,0,-1,-2
360896,-9,4,0,20,0,-4,-5,-3
360896,0,8,-7,-41,-11,0,-7,-2
369099,0,-2,14,9,-10,-3,1,-3
369099,-17,-10,-3,-2,1,0,-7,-1
377606,-7,8,-5,9,2,0,0,1
377606,-10,-14,-10,3,2,-2,-1,-1
390616,2,2,2,-3,4,-2,1,-6
390616,-1,1,15,-9,-7,-1,-6,0
400608,-4,3,6,11,-3,-1,1,-1
400608,3,9,-26,-16,-2,-3,-7,1
406619,-5,-5,2,-16,2,1,3,-2
406619,12,2,28,18,0,-3,-10,-3
429900,-3,-7,2,13,8,2,-4,-5
429900,-9,1,-6,-4,-7,-4,-4,-1
430872,3,-8,-19,-14,-3,-3,-2,4
430872,-10,13,-8,12,7,0,-5,-2
437610,2,-16,21,-11,-5,-2,10,4
437610,-2,6,-13,17,5,1,-1,-1
450837,-4,-1,33,7,1,-1,-1,-5
