timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
178244,-2,-1,-10,-10,-4,-2,-1,-2
178244,2,-2,3,11,7,2,0,-2
179245,1,2,-6,-7,7,4,-1,-1
179245,-3,-2,-3,-23,-20,-3,0,1
182245,-1,-1,12,40,8,-1,-2,-1
182245,-5,-10,-24,-17,4,-3,-5,-2
183460,1,0,-5,-10,-7,1,0,0
183460,-1,-1,-8,12,8,0,-1,0
188489,0,2,2,-29,-17,-1,-3,1
188489,-2,5,33,51,10,-1,1,0
197245,-3,-5,-13,-24,17,0,-2,-1
197245,-2,-4,-12,-10,-6,-3,-1,-4
203286,-1,-2,-4,-11,-2,-2,-2,-3
203286,0,2,9,6,-12,-1,-2,1
218251,0,0,11,10,1,-3,0,0
218251,-2,0,8,1,1,-2,-2,-2
227282,0,-2,2,-2,-5,-3,0,0
227282,-1,-1,-9,-11,-3,3,0,-2
241767,-3,0,9,30,-3,-4,-1,-3
241767,0,-1,-18,-29,1,0,1,-1
249763,-2,-1,-1,9,4,0,0,0
249763,-3,0,-11,-23,-6,-5,-3,-1
256272,-1,1,13,29,2,3,-1,1
256272,-2,-4,-18,-22,-10,-1,-2,-2
304274,-3,-1,-14,-8,-4,-5,-3,-2
304274,-2,0,10,10,3,1,-1,-2
305520,-2,1,-1,-9,-5,-2,-1,-2
305520,0,0,-8,-1,-1,-1,-4,-1
308275,0,-1,4,0,0,0,-1,-3
308275,-1,-4,-13,-8,-4,-2,-1,-1
309275,-8,1,8,8,-2,-1,-1,0
309275,-1,-1,3,-4,-1,-1,0,-3
315469,-1,-1,-6,9,3,0,-2,-2
315469,1,2,0,-8,-3,-1,0,-1
324275,2,2,-10,-4,1,-1,-2,-1
324275,-2,-9,30,4,-5,-3,-1,-3
330546,0,-1,-27,-15,3,-1,-1,-1
330546,-2,0,14,2,-2,-1,-2,-1
346282,-2,-3,-22,-3,-3,-1,-3,-4
346282,-2,2,-1,1,1,-2,-1,0
353288,-1,-2,14,10,-2,1,0,0
353288,-2,-2,-5,-3,-1,0,-3,-1
362289,0,-2,-6,-8,-4,-2,-2,-3
362289,-1,-2,-7,2,0,-1,-2,-2
375290,-2,-1,17,7,-4,-3,-1,-4
375290,-1,0,-22,-4,1,-3,-2,-1
384290,-2,-3,11,4,-4,1,1,-1
384290,-3,-4,-17,16,6,1,0,-3
390291,1,1,-2,-30,-6,1,0,1
390291,-1,-1,-5,-35,-4,0,-1,-2
405292,-4,-3,8,37,5,-3,-4,-3
405292,0,2,11,26,-2,-3,-1,1
413292,0,4,-31,-34,-3,-1,-1,-2
413292,-1,-10,22,21,-6,-2,-2,-2
422292,2,-2,-8,-26,4,1,-1,-2
422292,-1,-1,0,2,0,1,-1,-3
435797,-3,-3,5,4,-1,0,-2,-2
435797,-3,1,4,6,-7,-4,-1,-2
444799,0,1,-2,-7,-1,-1,-1,-2
444799,-1,2,-6,8,-1,0,1,1
451017,-1,-2,-3,5,0,-1,-1,-1
451017,0,1,2,-5,2,-1,-1,-1
465304,0,1,-1,-15,-6,-4,1,0
465304,0,3,6,8,4,1,-1,-3
473519,-2,-5,1,13,1,-1,-2,-1
473519,-2,-2,-5,35,2,0,1,1
482305,1,-2,-30,-71,-6,-1,-1,0
482305,-1,0,10,4,0,-1,-2,1
495506,-2,2,6,2,1,-1,1,-2
495506,0,-1,9,17,2,0,-2,-1
506520,-1,-2,-7,11,-1,-2,-1,-1
506520,0,-4,-9,-23,-4,-1,-3,0
510307,-1,-3,7,14,-1,1,0,0
510307,-1,0,-16,-21,-2,-2,-1,0
525309,-2,-2,21,28,-1,-2,-3,-2
525309,-1,-2,-7,-19,-5,-3,-2,-1
533310,-2,-5,11,5,-2,-2,-2,-4
533310,-1,1,-13,-7,-1,0,1,-1
542818,-2,0,-1,-10,-2,-2,-4,-2
542818,-1,-3,6,15,-2,-1,1,0
555840,-1,-1,-29,-6,0,-1,-1,1
555840,-2,1,1,-15,-10,-2,1,0
564841,0,-2,19,38,9,2,-1,0
564841,-2,0,-14,-53,-7,-4,-1,-3
571039,0,1,-24,9,4,-3,-2,1
571039,-4,-8,2,-9,-7,-1,-2,-3
586008,2,0,6,5,-2,-2,1,0
586008,-3,1,4,8,1,-1,-2,-2
594044,-3,3,9,2,0,1,-1,2
594044,-3,-8,4,-4,2,-2,-3,-1
609039,0,0,9,6,-1,0,-1,-1
