timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
161534,-1,2,1,2,0,-3,0,-2
161534,6,-4,0,0,0,-1,-11,-1
161534,-1,-1,-6,2,1,3,27,3
161534,-1,-3,-15,-6,-3,-4,-4,-5
163535,-10,-2,-2,0,-1,-2,-3,-1
163535,-11,-4,6,-5,-2,0,-2,0
166535,19,6,-1,-4,0,-2,-7,-2
166535,-11,-14,-3,-4,-1,-1,-6,1
171731,7,-1,0,2,4,3,2,-1
171731,-6,3,2,-1,-5,-3,-1,-3
181748,-6,-7,7,1,-2,-2,-7,-2
181748,5,3,-3,-3,0,-1,-1,-2
186733,2,11,14,-1,-3,-3,-5,-3
186733,-1,-9,20,2,2,2,1,-4
203547,-7,4,-21,0,0,-3,-8,-5
203547,1,-2,7,27,0,0,0,2
211248,4,0,-26,-32,-4,-1,-2,-8
211248,-6,11,-1,-2,-2,-2,1,-1
216942,-3,-16,-5,2,-2,-1,-4,0
216942,1,0,16,-3,0,-1,2,0
233027,-14,-3,-2,13,1,0,-1,0
233027,5,2,-17,-9,-6,-2,4,1
278752,6,0,0,2,1,1,24,2
278752,-10,0,0,-1,-4,-3,-4,-4
279752,11,-1,-4,0,0,-2,-7,0
279752,-2,3,16,-4,-2,0,-4,-3
281752,11,4,-4,-2,1,-1,-6,2
281752,-2,1,7,-8,-2,-1,-1,0
282751,-8,-6,-4,-2,-2,-2,-7,-4
282751,-8,-4,24,23,2,1,15,5
292037,-3,-1,-11,-19,-2,-1,-4,-2
292037,-6,2,-11,-9,-3,-2,1,1
300345,3,4,-8,0,-2,-2,-3,-3
300345,-1,1,-4,-7,0,-1,-2,-2
307346,-9,-13,2,2,-4,-3,-5,1
307346,-1,-8,4,0,0,0,1,-4
322554,-8,0,-7,-2,-3,-1,1,3
322554,7,2,-3,0,-2,-2,0,0
330555,0,6,6,6,1,3,-4,-3
330555,-4,-4,-16,-2,-3,-3,-5,-7
336560,9,-1,8,4,0,1,4,0
336560,-3,-7,-23,-5,0,-2,-4,2
352554,10,5,6,-9,-3,-2,-7,-2
352554,-12,-1,9,25,4,1,2,-10
360571,-5,-6,-10,-15,-5,-4,-4,-2
360571,-2,-1,15,-14,-1,-3,-6,-2
367555,-5,-2,-13,-7,-2,-1,13,-4
367555,14,0,-3,3,0,0,0,7
391565,-7,7,10,4,3,1,5,2
391565,7,-2,3,12,-4,-2,-13,-3
392556,-10,-1,5,1,-2,-3,-9,-2
392556,4,-1,-31,-14,-2,-2,3,0
396558,-2,-2,15,6,-1,-1,-5,-6
396558,-5,-9,-23,-9,-3,-2,1,-3
412089,0,-3,-3,8,2,-1,2,-1
412089,3,0,0,-3,0,-2,-4,3
420583,1,0,-2,-6,1,1,2,0
420583,-9,-9,3,3,-2,-2,1,-3
426590,1,-4,1,1,0,1,-2,0
426590,6,7,2,-8,-4,-4,-5,-5
442586,-5,-4,12,9,-1,-1,0,-4
442586,6,-1,5,-15,-2,-1,4,-3
450585,-3,2,-12,12,-1,-3,-7,1
450585,-8,-4,13,-7,-1,0,-2,-4
457586,4,1,0,13,0,-2,2,0
457586,9,5,-14,-7,-2,-1,-4,1
471874,-6,-4,-15,-10,-1,-2,-6,-3
471874,-10,2,6,-4,-1,0,5,1
479587,-4,-5,-12,-12,-3,0,-16,-1
479587,2,5,-1,4,-2,0,-7,-8
488588,-5,-1,3,2,1,0,5,-3
488588,3,-4,4,8,-2,-2,-1,3
503382,-5,-5,-2,-1,1,-2,-3,-6
503382,-6,-2,-9,-3,-1,-2,-7,6
517891,4,3,3,-2,-3,-1,-5,-2
517891,0,-3,19,7,0,0,-2,1
518892,2,-1,-26,-8,-3,-1,3,4
518892,-2,3,8,1,-1,-2,2,0
531892,-5,-1,-11,11,2,-1,2,-3
531892,-3,-8,-8,-7,0,-1,-1,-3
539906,0,-1,25,-3,-3,-4,1,-1
539906,-7,-2,-24,2,-2,-3,4,-7
548894,-1,-5,10,-2,0,1,-3,1
548894,-5,-2,-9,-9,-5,0,-4,-5
562892,9,0,0,6,1,2,3,3
562892,1,-2,23,-8,2,0,-1,-6
569893,-4,-6,-12,-4,-5,-3,-5,-9
569893,6,7,-2,2,1,1,0,8
576898,-2,-1,-1,2,2,-1,1,-3
576898,-6,-3,7,5,-2,-1,0,9
591899,-4,1,-5,-4,-3,-3,-2,-9
591899,3,0,3,-1,3,-2,2,-4
599909,-4,3,-6,-5,-6,-4,-21,-1
599909,1,-10,10,-4,2,2,29,1
609476,1,-2,-1,2,-3,-1,-4,0
609476,-2,-1,-7,0,-1,-1,0,0
623119,-3,-12,-5,-3,0,0,-2,-3
623119,7,24,5,-3,-5,-2,-7,-5
629917,-8,0,-12,-15,-2,0,1,2
629917,7,-9,10,8,-3,-3,-2,-2
637115,-1,2,-20,4,3,1,5,2
637115,-4,-4,-6,-5,-2,0,-5,-5
654126,-8,-5,8,1,-2,-2,1,-5
654126,7,2,-13,-7,-2,0,-5,-2
669139,-10,-1,14,-6,0,-3,-1,-9
669139,0,-2,-24,-2,-1,0,1,4
671130,6,3,10,2,-1,-1,-4,1
671130,-4,-7,-2,1,-2,1,-2,-2
682920,1,5,16,-1,-3,-1,3,0
682920,-3,3,-2,9,4,0,-9,-5
690136,0,-2,0,-2,-6,-3,-8,-1
690136,-6,0,-5,-9,1,1,27,2
697118,2,3,-3,2,-3,-1,-1,0
697118,-4,-6,3,6,3,-2,-5,3
712122,1,-6,1,-4,-2,-3,-5,-2
712122,8,2,31,-2,-3,-3,-11,-3
720487,-5,7,-30,-7,-2,-1,1,-1
720487,-2,-10,-19,4,2,0,1,-2
729345,6,0,-7,-3,-2,0,0,-2
729345,-7,-11,-12,-1,-2,-2,-4,-3
743345,0,8,3,10,-2,-1,1,0
743345,-8,1,7,-21,-3,-1,-5,-5
750448,-1,-12,-1,-10,-2,-1,3,2
750448,-2,6,-9,2,0,-2,-1,-4
757482,-7,-5,0,-4,-4,-2,-2,-5
757482,9,-3,-3,10,-2,-1,-1,6
772482,-20,-1,0,-13,2,-1,-2,-23
772482,-6,2,15,29,2,0,-8,2
779348,9,-1,-16,-23,-4,-1,-6,2
779348,-7,-3,-1,4,-3,-3,-6,-6
789450,2,-8,-3,-13,-2,-2,13,15
789450,5,9,0,11,1,-2,-15,-3
803295,-5,-4,32,4,1,0,7,-5
803295,-3,-3,-28,2,0,-2,-2,-1
810296,7,2,-35,-13,-1,-1,-4,0
810296,-6,-3,15,17,0,-1,-5,-4
817486,9,-7,-16,-37,-5,-2,2,11
817486,-9,4,5,12,-3,-1,-1,-6
832335,1,1,11,-2,1,-1,5,4
832335,-3,-14,-19,9,-1,-3,2,-5
840555,-7,-10,-19,-5,-2,-1,-1,0
840555,9,7,15,25,-1,0,-1,-2
857337,0,16,6,-13,1,1,-5,2
857337,-3,-14,-18,-22,-4,0,0,5
863338,-9,-14,23,10,2,-1,-3,-3
863338,5,1,-29,-42,-3,0,-1,1
870338,7,3,9,28,2,2,-9,-5
870338,-5,15,30,7,0,0,20,4
886484,-9,-8,-20,-36,-10,-5,-6,-5
886484,1,1,-9,6,2,0,-7,-1
892476,0,-2,3,48,-6,-2,17,-4
892476,2,7,43,112,17,4,0,-9
900286,-4,-5,-17,-75,-2,-2,-24,1
900286,10,3,7,19,-6,-4,14,-3
909288,-6,-3,7,28,3,-1,-7,-6
909288,7,-13,-2,-52,-8,-2,-1,4
923453,3,8,-24,-1,-1,-3,8,-4
923453,-1,-7,37,6,3,-2,-21,-4
930187,-4,-3,-7,-11,1,1,-4,2
930187,-7,8,10,5,-1,-1,0,2
945190,24,0,11,2,0,-3,-20,4
945190,-12,-1,-13,-34,-3,-1,15,-4
952241,-5,0,17,37,-3,1,-9,-1
952241,4,-3,-32,-22,-3,0,-1,8
960532,-7,17,4,46,-4,0,-4,8
960532,0,-17,-22,-7,-5,-4,-16,-9
970190,-8,-14,74,-26,5,-1,11,2
970190,-6,-12,-101,-75,-16,-7,-16,-2
983494,-7,8,-5,1,0,1,22,-5
983494,6,8,38,57,4,3,-21,7
990531,6,3,9,-45,-2,-1,2,5
990531,-4,0,36,-35,-6,-7,-13,-13
1005205,-5,0,-20,-9,2,1,1,2
1005205,-1,1,20,85,3,2,9,1
1012207,6,-11,-93,-87,-16,-7,-14,1
1012207,-17,12,89,62,12,0,4,-1
1020243,14,-7,-23,-56,-4,-2,-4,-5
1020243,-9,-5,-16,-4,-2,0,30,14
1029216,15,2,-27,24,1,-1,-18,-11
1029216,-11,11,-15,21,-4,3,44,9
1043216,-1,10,81,68,13,1,2,-7
1043216,-23,-15,-81,-107,-12,-7,-32,-16
1050236,-3,10,15,52,-4,-4,6,-11
1050236,18,-24,-27,-35,-12,-6,-18,44
1065223,-7,10,0,49,2,3,31,-2
1065223,13,-3,9,-8,2,-1,10,3
1074218,-18,-7,12,-10,5,-2,-7,-20
1074218,0,10,-36,7,1,0,-21,-15
1080218,0,-10,-4,-2,-7,-2,4,-6
1080218,-4,2,26,-2,3,0,-8,-11
1089245,-4,-13,-12,3,-2,1,8,13
1089245,1,22,11,-12,2,-1,-1,-11
1103240,27,-24,5,10,-1,-2,-3,23
1103240,2,12,-32,-24,-1,-2,11,-9
1110225,7,4,12,15,1,-1,-9,9
1110225,-11,0,-16,-10,-2,-2,1,-12
1125230,-27,-56,20,8,2,-1,-6,2
1125230,17,6,-7,9,-4,-3,-8,-16
1132230,-15,10,-4,-7,-4,-3,9,-4
1132230,9,13,4,3,3,3,-6,-13
1140231,-2,17,-7,11,0,-2,-14,-2
1140231,-5,-8,16,-2,2,4,47,21
1149232,6,2,-8,3,-2,-1,-7,8
1149232,-1,-7,1,-9,-2,-1,1,-5
1163232,-8,-4,-8,1,-7,-5,-12,-9
1163232,0,-4,11,5,0,-1,-9,7
1170233,-3,14,3,-6,1,-1,-5,-6
1170233,-11,-18,-17,2,-1,-1,-7,6
1187234,18,1,4,19,-1,2,16,-6
1187234,-26,8,-27,-2,-2,-2,-13,-4
1192234,5,-7,12,-33,-7,-3,4,-3
1192234,7,-9,-30,14,-1,-5,-27,-5
1200249,-16,9,29,3,3,0,1,-1
1200249,14,-11,2,-3,-3,-4,-3,-1
1215260,4,0,8,7,3,2,30,-8
1215260,-5,-4,16,-6,-4,0,1,-4
1223261,3,8,-2,9,4,-1,-25,-14
1223261,-9,-8,11,14,-4,-4,-18,6
1230262,-10,1,-16,-12,-2,-2,-15,-3
1230262,21,-12,9,4,0,-1,18,-12
1245288,-10,-1,-10,-5,-2,-2,-11,1
1245288,7,10,-12,-11,0,-1,1,2
1252447,-2,0,-10,13,0,-1,-6,2
1252447,-12,-14,2,-17,-1,-1,-2,-2
1268268,-1,8,-12,3,-1,-1,10,-1
1268268,0,-5,0,-9,-2,-2,-10,-2
1275448,10,-1,18,8,-2,-4,5,6
1275448,-6,11,-4,6,-2,-1,3,-1
1282264,-1,-2,-13,2,-3,-1,-10,-7
1282264,16,0,8,-18,0,3,-3,9
1291265,-15,-4,-14,-8,-3,-3,-6,7
1291265,24,-11,-1,21,0,0,22,-9
1304780,-4,11,-14,-30,-4,-2,6,5
1304780,-3,4,8,14,1,-1,-18,-9
1312276,5,-5,-6,5,0,2,10,1
1312276,-8,0,-9,-21,-3,-3,-11,2
1327296,-1,2,-3,7,-1,-2,-2,-3
1327296,-15,-10,-21,2,-1,-2,8,-10
1334291,9,8,-9,-6,-2,-4,-12,3
1334291,-1,7,-5,2,2,1,17,4
1342292,-6,12,10,1,-1,-2,7,-4
1342292,-13,-25,10,-7,-2,-3,-1,3
1357293,-4,-6,3,13,1,-2,-5,5
1357293,10,3,-16,-13,-5,-1,0,5
1366293,13,-8,-4,-2,-2,0,-5,-4
1366293,-13,4,8,-1,1,-1,5,2
1371298,-2,-7,-2,2,-4,-3,-20,-4
1371298,-2,8,6,0,1,1,31,8
1388298,3,-10,-15,-8,-5,-3,-9,0
1388298,4,13,2,7,1,-1,-11,-10
1395347,7,-4,1,2,1,1,41,1
1395347,-8,0,13,-5,1,0,-36,-4
1411192,11,-8,-8,0,-2,-1,19,6
1411192,-60,-6,-4,-2,-3,-1,6,-24
